fy_year	n_CG	zero_discount_Net_CG_total	cg_inflator	forecast.series
2012-13	531558	9578777968.624847	0.8160116275483076	lower
2013-14	632664	10402505803.764576	0.7445635012888323	lower
2014-15	672484	14850636113.519112	1	lower
2015-16	368744.2612156167	19463511990.301594	2.390192262159306	lower
2016-17	287622.7404231213	19863608367.36946	3.127316407768004	lower
2017-18	237678.50873522923	24170528191.100044	4.605037025136969	lower
2018-19	202348.16523448072	24758905216.199852	5.5407565130247285	lower
2019-20	175575.52132962516	25912124185.39547	6.683069060560837	lower
2020-21	154413.51337081258	27865535908.726826	8.171823811341962	lower
2021-22	137195.95279359314	15382634367.246443	5.077223908488309	lower
2022-23	122887.33383680186	10229782623.651978	3.769607932643937	lower
2023-24	110800.39559275111	6080312310.818062	2.4849718612507052	lower
2024-25	100456.33331237017	2362695808.523205	1.065043602144343	lower
2012-13	531558	9578777968.624847	0.8160116275483076	mean
2013-14	632664	10402505803.764576	0.7445635012888323	mean
2014-15	672484	14850636113.519112	1	mean
2015-16	673504.2451181604	19463511990.301594	1.3086327016670676	mean
2016-17	674324.7475532593	19863608367.36946	1.3339082076346036	mean
2017-18	674981.8691881959	24170528191.100044	1.6215521968337518	mean
2018-19	675508.0275592515	24758905216.199852	1.6597314446025757	mean
2019-20	675929.2495760875	25912124185.39547	1.7359558491154967	mean
2020-21	676266.4163187699	27865535908.726826	1.8658918954239279	mean
2021-22	676536.270820675	29013038204.5529	1.9419543827160148	mean
2022-23	676752.2319655489	30160621474.920624	2.018122333833186	mean
2023-24	676925.0505276516	31308204745.288353	2.0943751606039758	mean
2024-25	677063.3371610332	32455788015.65608	2.1706997681972	mean
2012-13	531558	9578777968.624847	0.8160116275483076	upper
2013-14	632664	10402505803.764576	0.7445635012888323	upper
2014-15	672484	14850636113.519112	1	upper
2015-16	1230142.448039195	19463511990.301594	0.7164777390440352	upper
2016-17	1580938.5047018123	19863608367.36946	0.5689578137905376	upper
2017-18	1916877.2395838439	24170528191.100044	0.5709903118483959	upper
2018-19	2255078.986104065	24758905216.199852	0.4971719045453492	upper
2019-20	2602187.0644185436	25912124185.39547	0.4509219765305569	upper
2020-21	2961763.2282115933	27865535908.726826	0.42604351804263424	upper
2021-22	3336113.9043550543	42643442041.85935	0.5788263338913077	upper
2022-23	3726938.889231511	50091460326.18927	0.6086229440744361	upper
2023-24	4135612.707702663	56536097179.758644	0.6190459161709397	upper
2024-25	4563323.65926784	62548880222.788956	0.6206905962540865	upper
