obsTime	obsValue
2002-Q2	75.4542
2002-Q3	75.9549
2002-Q4	76.5094
2003-Q1	77.1437
2003-Q2	77.5659
2003-Q3	78.0848
2003-Q4	78.608
2004-Q1	79.1322
2004-Q2	79.6136
2004-Q3	80.098
2004-Q4	80.7504
2005-Q1	81.2704
2005-Q2	81.7882
2005-Q3	82.2996
2005-Q4	82.8486
2006-Q1	83.5368
2006-Q2	84.2394
2006-Q3	84.823
2006-Q4	85.3291
2007-Q1	85.8059
2007-Q2	86.5668
2007-Q3	87.3109
2007-Q4	88.3657
2008-Q1	89.3761
2008-Q2	90.4131
2008-Q3	91.5399
2008-Q4	92.1806
2009-Q1	93.0171
2009-Q2	93.6394
2009-Q3	94.3416
2009-Q4	95.0965
2010-Q1	95.87
2010-Q2	96.2485
2010-Q3	96.7941
2010-Q4	97.2044
2011-Q1	98.0164
2011-Q2	98.8102
2011-Q3	99.197
2011-Q4	99.8167
2012-Q1	100.2228
2012-Q2	100.7635
2012-Q3	101.4609
2012-Q4	101.9922
2013-Q1	102.5467
2013-Q2	103.1627
2013-Q3	103.8929
2013-Q4	104.7169
2014-Q1	105.2858
2014-Q2	106.0294
2014-Q3	106.4194
2014-Q4	107.0392
2015-Q1	107.7247
2015-Q2	108.3785
2015-Q3	108.7527
2015-Q4	109.3518
2016-Q1	109.6368
2016-Q2	110.1883
2016-Q3	110.5518
2016-Q4	111.0029
2017-Q1	111.5325
2017-Q2	112.1256
2017-Q3	112.5296
2017-Q4	112.9531
2018-Q1	113.5945
2018-Q2	114.1044
2018-Q3	114.5385
2018-Q4	115.0328
