variable	inflator	h	fy_year
Grs_int_amt	1	1	2015-16
Aust_govt_pnsn_allw_amt	1	1	2015-16
Unfranked_Div_amt	0.95	1	2015-16
Frk_Div_amt	1	1	2015-16
Dividends_franking_cr_amt	1.04	1	2015-16
Gross_rent_amt	1.05	1	2015-16
Other_rent_ded_amt	1.06	1	2015-16
Rent_int_ded_amt	1	1	2015-16
Rent_cap_wks_amt	1.08	1	2015-16
Net_farm_management_amt	0.61	1	2015-16
Total_PP_BI_amt	0.9	1	2015-16
Total_NPP_BI_amt	1.05	1	2015-16
Total_PP_BE_amt	1.03	1	2015-16
Total_NPP_BE_amt	1.2	1	2015-16
Net_CG_amt	1	1	2015-16
Tot_CY_CG_amt	1	1	2015-16
Net_PT_PP_dsn	0.8	1	2015-16
Net_PT_NPP_dsn	1.1	1	2015-16
Taxed_othr_pnsn_amt	0.93	1	2015-16
Untaxed_othr_pnsn_amt	1.01	1	2015-16
Other_foreign_inc_amt	0.98	1	2015-16
Other_inc_amt	0.82	1	2015-16
Div_Ded_amt	0.91	1	2015-16
Intrst_Ded_amt	1	1	2015-16
Gift_amt	0.99	1	2015-16
PP_loss_claimed	0.76	1	2015-16
NPP_loss_claimed	1	1	2015-16
Rep_frng_ben_amt	1.04	1	2015-16
Med_Exp_TO_amt	1	1	2015-16
Asbl_forgn_source_incm_amt	0.56	1	2015-16
Net_fincl_invstmt_lss_amt	1.37	1	2015-16
Cr_PAYG_ITI_amt	0.94	1	2015-16
TFN_amts_wheld_gr_intst_amt	0.97	1	2015-16
TFN_amts_wheld_divs_amt	1.11	1	2015-16
Hrs_to_prepare_BPI_cnt	1.11	1	2015-16
Help_debt	0.82	1	2015-16
Spouse_adjusted_taxable_inc	1	1	2015-16
Grs_int_amt	1	2	2016-17
Aust_govt_pnsn_allw_amt	1	2	2016-17
Unfranked_Div_amt	0.95	2	2016-17
Frk_Div_amt	1	2	2016-17
Dividends_franking_cr_amt	1.04	2	2016-17
Gross_rent_amt	1.09	2	2016-17
Other_rent_ded_amt	1.11	2	2016-17
Rent_int_ded_amt	1	2	2016-17
Rent_cap_wks_amt	1.16	2	2016-17
Net_farm_management_amt	0.61	2	2016-17
Total_PP_BI_amt	0.9	2	2016-17
Total_NPP_BI_amt	1.05	2	2016-17
Total_PP_BE_amt	1.03	2	2016-17
Total_NPP_BE_amt	1.2	2	2016-17
Net_CG_amt	1	2	2016-17
Tot_CY_CG_amt	1	2	2016-17
Net_PT_PP_dsn	0.8	2	2016-17
Net_PT_NPP_dsn	1.14	2	2016-17
Taxed_othr_pnsn_amt	0.93	2	2016-17
Untaxed_othr_pnsn_amt	1.06	2	2016-17
Other_foreign_inc_amt	0.98	2	2016-17
Other_inc_amt	0.82	2	2016-17
Div_Ded_amt	0.83	2	2016-17
Intrst_Ded_amt	1	2	2016-17
Gift_amt	0.99	2	2016-17
PP_loss_claimed	0.76	2	2016-17
NPP_loss_claimed	1	2	2016-17
Rep_frng_ben_amt	1.08	2	2016-17
Med_Exp_TO_amt	1	2	2016-17
Asbl_forgn_source_incm_amt	0.56	2	2016-17
Net_fincl_invstmt_lss_amt	1.37	2	2016-17
Cr_PAYG_ITI_amt	0.94	2	2016-17
TFN_amts_wheld_gr_intst_amt	0.97	2	2016-17
TFN_amts_wheld_divs_amt	1.11	2	2016-17
Hrs_to_prepare_BPI_cnt	1.11	2	2016-17
Help_debt	0.82	2	2016-17
Spouse_adjusted_taxable_inc	1	2	2016-17
Grs_int_amt	1	3	2017-18
Aust_govt_pnsn_allw_amt	1	3	2017-18
Unfranked_Div_amt	0.95	3	2017-18
Frk_Div_amt	1	3	2017-18
Dividends_franking_cr_amt	1.04	3	2017-18
Gross_rent_amt	1.14	3	2017-18
Other_rent_ded_amt	1.17	3	2017-18
Rent_int_ded_amt	1	3	2017-18
Rent_cap_wks_amt	1.24	3	2017-18
Net_farm_management_amt	0.61	3	2017-18
Total_PP_BI_amt	0.9	3	2017-18
Total_NPP_BI_amt	1.05	3	2017-18
Total_PP_BE_amt	1.03	3	2017-18
Total_NPP_BE_amt	1.2	3	2017-18
Net_CG_amt	1	3	2017-18
Tot_CY_CG_amt	1	3	2017-18
Net_PT_PP_dsn	0.8	3	2017-18
Net_PT_NPP_dsn	1.18	3	2017-18
Taxed_othr_pnsn_amt	0.93	3	2017-18
Untaxed_othr_pnsn_amt	1.08	3	2017-18
Other_foreign_inc_amt	0.98	3	2017-18
Other_inc_amt	0.82	3	2017-18
Div_Ded_amt	0.74	3	2017-18
Intrst_Ded_amt	1	3	2017-18
Gift_amt	0.99	3	2017-18
PP_loss_claimed	0.76	3	2017-18
NPP_loss_claimed	1	3	2017-18
Rep_frng_ben_amt	1.12	3	2017-18
Med_Exp_TO_amt	1	3	2017-18
Asbl_forgn_source_incm_amt	0.56	3	2017-18
Net_fincl_invstmt_lss_amt	1.37	3	2017-18
Cr_PAYG_ITI_amt	0.94	3	2017-18
TFN_amts_wheld_gr_intst_amt	0.97	3	2017-18
TFN_amts_wheld_divs_amt	1.11	3	2017-18
Hrs_to_prepare_BPI_cnt	1.11	3	2017-18
Help_debt	0.82	3	2017-18
Spouse_adjusted_taxable_inc	1	3	2017-18
Grs_int_amt	1	4	2018-19
Aust_govt_pnsn_allw_amt	1	4	2018-19
Unfranked_Div_amt	0.95	4	2018-19
Frk_Div_amt	1	4	2018-19
Dividends_franking_cr_amt	1.04	4	2018-19
Gross_rent_amt	1.18	4	2018-19
Other_rent_ded_amt	1.22	4	2018-19
Rent_int_ded_amt	1	4	2018-19
Rent_cap_wks_amt	1.32	4	2018-19
Net_farm_management_amt	0.61	4	2018-19
Total_PP_BI_amt	0.9	4	2018-19
Total_NPP_BI_amt	1.05	4	2018-19
Total_PP_BE_amt	1.03	4	2018-19
Total_NPP_BE_amt	1.2	4	2018-19
Net_CG_amt	1	4	2018-19
Tot_CY_CG_amt	1	4	2018-19
Net_PT_PP_dsn	0.8	4	2018-19
Net_PT_NPP_dsn	1.22	4	2018-19
Taxed_othr_pnsn_amt	0.93	4	2018-19
Untaxed_othr_pnsn_amt	1.12	4	2018-19
Other_foreign_inc_amt	0.98	4	2018-19
Other_inc_amt	0.82	4	2018-19
Div_Ded_amt	0.66	4	2018-19
Intrst_Ded_amt	1	4	2018-19
Gift_amt	0.99	4	2018-19
PP_loss_claimed	0.76	4	2018-19
NPP_loss_claimed	1	4	2018-19
Rep_frng_ben_amt	1.16	4	2018-19
Med_Exp_TO_amt	1	4	2018-19
Asbl_forgn_source_incm_amt	0.56	4	2018-19
Net_fincl_invstmt_lss_amt	1.37	4	2018-19
Cr_PAYG_ITI_amt	0.94	4	2018-19
TFN_amts_wheld_gr_intst_amt	0.97	4	2018-19
TFN_amts_wheld_divs_amt	1.11	4	2018-19
Hrs_to_prepare_BPI_cnt	1.11	4	2018-19
Help_debt	0.82	4	2018-19
Spouse_adjusted_taxable_inc	1	4	2018-19
Grs_int_amt	1	5	2019-20
Aust_govt_pnsn_allw_amt	1	5	2019-20
Unfranked_Div_amt	0.95	5	2019-20
Frk_Div_amt	1	5	2019-20
Dividends_franking_cr_amt	1.04	5	2019-20
Gross_rent_amt	1.23	5	2019-20
Other_rent_ded_amt	1.28	5	2019-20
Rent_int_ded_amt	1	5	2019-20
Rent_cap_wks_amt	1.4	5	2019-20
Net_farm_management_amt	0.61	5	2019-20
Total_PP_BI_amt	0.9	5	2019-20
Total_NPP_BI_amt	1.05	5	2019-20
Total_PP_BE_amt	1.03	5	2019-20
Total_NPP_BE_amt	1.2	5	2019-20
Net_CG_amt	1	5	2019-20
Tot_CY_CG_amt	1	5	2019-20
Net_PT_PP_dsn	0.8	5	2019-20
Net_PT_NPP_dsn	1.26	5	2019-20
Taxed_othr_pnsn_amt	0.93	5	2019-20
Untaxed_othr_pnsn_amt	1.15	5	2019-20
Other_foreign_inc_amt	0.98	5	2019-20
Other_inc_amt	0.82	5	2019-20
Div_Ded_amt	0.57	5	2019-20
Intrst_Ded_amt	1	5	2019-20
Gift_amt	0.99	5	2019-20
PP_loss_claimed	0.76	5	2019-20
NPP_loss_claimed	1	5	2019-20
Rep_frng_ben_amt	1.2	5	2019-20
Med_Exp_TO_amt	1	5	2019-20
Asbl_forgn_source_incm_amt	0.56	5	2019-20
Net_fincl_invstmt_lss_amt	1.37	5	2019-20
Cr_PAYG_ITI_amt	0.94	5	2019-20
TFN_amts_wheld_gr_intst_amt	0.97	5	2019-20
TFN_amts_wheld_divs_amt	1.11	5	2019-20
Hrs_to_prepare_BPI_cnt	1.11	5	2019-20
Help_debt	0.82	5	2019-20
Spouse_adjusted_taxable_inc	1	5	2019-20
Grs_int_amt	1	6	2020-21
Aust_govt_pnsn_allw_amt	1	6	2020-21
Unfranked_Div_amt	0.95	6	2020-21
Frk_Div_amt	1	6	2020-21
Dividends_franking_cr_amt	1.04	6	2020-21
Gross_rent_amt	1.27	6	2020-21
Other_rent_ded_amt	1.33	6	2020-21
Rent_int_ded_amt	1	6	2020-21
Rent_cap_wks_amt	1.48	6	2020-21
Net_farm_management_amt	0.61	6	2020-21
Total_PP_BI_amt	0.9	6	2020-21
Total_NPP_BI_amt	1.05	6	2020-21
Total_PP_BE_amt	1.03	6	2020-21
Total_NPP_BE_amt	1.2	6	2020-21
Net_CG_amt	1	6	2020-21
Tot_CY_CG_amt	1	6	2020-21
Net_PT_PP_dsn	0.8	6	2020-21
Net_PT_NPP_dsn	1.3	6	2020-21
Taxed_othr_pnsn_amt	0.93	6	2020-21
Untaxed_othr_pnsn_amt	1.18	6	2020-21
Other_foreign_inc_amt	0.98	6	2020-21
Other_inc_amt	0.82	6	2020-21
Div_Ded_amt	0.49	6	2020-21
Intrst_Ded_amt	1	6	2020-21
Gift_amt	0.99	6	2020-21
PP_loss_claimed	0.76	6	2020-21
NPP_loss_claimed	1	6	2020-21
Rep_frng_ben_amt	1.23	6	2020-21
Med_Exp_TO_amt	1	6	2020-21
Asbl_forgn_source_incm_amt	0.56	6	2020-21
Net_fincl_invstmt_lss_amt	1.37	6	2020-21
Cr_PAYG_ITI_amt	0.94	6	2020-21
TFN_amts_wheld_gr_intst_amt	0.97	6	2020-21
TFN_amts_wheld_divs_amt	1.11	6	2020-21
Hrs_to_prepare_BPI_cnt	1.11	6	2020-21
Help_debt	0.82	6	2020-21
Spouse_adjusted_taxable_inc	1	6	2020-21
Grs_int_amt	1	7	2021-22
Aust_govt_pnsn_allw_amt	1	7	2021-22
Unfranked_Div_amt	0.95	7	2021-22
Frk_Div_amt	1	7	2021-22
Dividends_franking_cr_amt	1.04	7	2021-22
Gross_rent_amt	1.32	7	2021-22
Other_rent_ded_amt	1.39	7	2021-22
Rent_int_ded_amt	1	7	2021-22
Rent_cap_wks_amt	1.56	7	2021-22
Net_farm_management_amt	0.61	7	2021-22
Total_PP_BI_amt	0.9	7	2021-22
Total_NPP_BI_amt	1.05	7	2021-22
Total_PP_BE_amt	1.03	7	2021-22
Total_NPP_BE_amt	1.2	7	2021-22
Net_CG_amt	1	7	2021-22
Tot_CY_CG_amt	1	7	2021-22
Net_PT_PP_dsn	0.8	7	2021-22
Net_PT_NPP_dsn	1.35	7	2021-22
Taxed_othr_pnsn_amt	0.93	7	2021-22
Untaxed_othr_pnsn_amt	1.21	7	2021-22
Other_foreign_inc_amt	0.98	7	2021-22
Other_inc_amt	0.82	7	2021-22
Div_Ded_amt	0.4	7	2021-22
Intrst_Ded_amt	1	7	2021-22
Gift_amt	0.99	7	2021-22
PP_loss_claimed	0.76	7	2021-22
NPP_loss_claimed	1	7	2021-22
Rep_frng_ben_amt	1.27	7	2021-22
Med_Exp_TO_amt	1	7	2021-22
Asbl_forgn_source_incm_amt	0.56	7	2021-22
Net_fincl_invstmt_lss_amt	1.37	7	2021-22
Cr_PAYG_ITI_amt	0.94	7	2021-22
TFN_amts_wheld_gr_intst_amt	0.97	7	2021-22
TFN_amts_wheld_divs_amt	1.11	7	2021-22
Hrs_to_prepare_BPI_cnt	1.11	7	2021-22
Help_debt	0.82	7	2021-22
Spouse_adjusted_taxable_inc	1	7	2021-22
Grs_int_amt	1	8	2022-23
Aust_govt_pnsn_allw_amt	1	8	2022-23
Unfranked_Div_amt	0.95	8	2022-23
Frk_Div_amt	1	8	2022-23
Dividends_franking_cr_amt	1.04	8	2022-23
Gross_rent_amt	1.36	8	2022-23
Other_rent_ded_amt	1.45	8	2022-23
Rent_int_ded_amt	1	8	2022-23
Rent_cap_wks_amt	1.64	8	2022-23
Net_farm_management_amt	0.61	8	2022-23
Total_PP_BI_amt	0.9	8	2022-23
Total_NPP_BI_amt	1.05	8	2022-23
Total_PP_BE_amt	1.03	8	2022-23
Total_NPP_BE_amt	1.2	8	2022-23
Net_CG_amt	1	8	2022-23
Tot_CY_CG_amt	1	8	2022-23
Net_PT_PP_dsn	0.8	8	2022-23
Net_PT_NPP_dsn	1.39	8	2022-23
Taxed_othr_pnsn_amt	0.93	8	2022-23
Untaxed_othr_pnsn_amt	1.24	8	2022-23
Other_foreign_inc_amt	0.98	8	2022-23
Other_inc_amt	0.82	8	2022-23
Div_Ded_amt	0.32	8	2022-23
Intrst_Ded_amt	1	8	2022-23
Gift_amt	0.99	8	2022-23
PP_loss_claimed	0.76	8	2022-23
NPP_loss_claimed	1	8	2022-23
Rep_frng_ben_amt	1.31	8	2022-23
Med_Exp_TO_amt	1	8	2022-23
Asbl_forgn_source_incm_amt	0.56	8	2022-23
Net_fincl_invstmt_lss_amt	1.37	8	2022-23
Cr_PAYG_ITI_amt	0.94	8	2022-23
TFN_amts_wheld_gr_intst_amt	0.97	8	2022-23
TFN_amts_wheld_divs_amt	1.11	8	2022-23
Hrs_to_prepare_BPI_cnt	1.11	8	2022-23
Help_debt	0.82	8	2022-23
Spouse_adjusted_taxable_inc	1	8	2022-23
Grs_int_amt	1	9	2023-24
Aust_govt_pnsn_allw_amt	1	9	2023-24
Unfranked_Div_amt	0.95	9	2023-24
Frk_Div_amt	1	9	2023-24
Dividends_franking_cr_amt	1.04	9	2023-24
Gross_rent_amt	1.41	9	2023-24
Other_rent_ded_amt	1.5	9	2023-24
Rent_int_ded_amt	1	9	2023-24
Rent_cap_wks_amt	1.72	9	2023-24
Net_farm_management_amt	0.61	9	2023-24
Total_PP_BI_amt	0.9	9	2023-24
Total_NPP_BI_amt	1.05	9	2023-24
Total_PP_BE_amt	1.03	9	2023-24
Total_NPP_BE_amt	1.2	9	2023-24
Net_CG_amt	1	9	2023-24
Tot_CY_CG_amt	1	9	2023-24
Net_PT_PP_dsn	0.8	9	2023-24
Net_PT_NPP_dsn	1.43	9	2023-24
Taxed_othr_pnsn_amt	0.93	9	2023-24
Untaxed_othr_pnsn_amt	1.27	9	2023-24
Other_foreign_inc_amt	0.98	9	2023-24
Other_inc_amt	0.82	9	2023-24
Div_Ded_amt	0.23	9	2023-24
Intrst_Ded_amt	1	9	2023-24
Gift_amt	0.99	9	2023-24
PP_loss_claimed	0.76	9	2023-24
NPP_loss_claimed	1	9	2023-24
Rep_frng_ben_amt	1.35	9	2023-24
Med_Exp_TO_amt	1	9	2023-24
Asbl_forgn_source_incm_amt	0.56	9	2023-24
Net_fincl_invstmt_lss_amt	1.37	9	2023-24
Cr_PAYG_ITI_amt	0.94	9	2023-24
TFN_amts_wheld_gr_intst_amt	0.97	9	2023-24
TFN_amts_wheld_divs_amt	1.11	9	2023-24
Hrs_to_prepare_BPI_cnt	1.11	9	2023-24
Help_debt	0.82	9	2023-24
Spouse_adjusted_taxable_inc	1	9	2023-24
Grs_int_amt	1	10	2024-25
Aust_govt_pnsn_allw_amt	1	10	2024-25
Unfranked_Div_amt	0.95	10	2024-25
Frk_Div_amt	1	10	2024-25
Dividends_franking_cr_amt	1.04	10	2024-25
Gross_rent_amt	1.46	10	2024-25
Other_rent_ded_amt	1.56	10	2024-25
Rent_int_ded_amt	1	10	2024-25
Rent_cap_wks_amt	1.8	10	2024-25
Net_farm_management_amt	0.61	10	2024-25
Total_PP_BI_amt	0.9	10	2024-25
Total_NPP_BI_amt	1.05	10	2024-25
Total_PP_BE_amt	1.03	10	2024-25
Total_NPP_BE_amt	1.2	10	2024-25
Net_CG_amt	1	10	2024-25
Tot_CY_CG_amt	1	10	2024-25
Net_PT_PP_dsn	0.8	10	2024-25
Net_PT_NPP_dsn	1.47	10	2024-25
Taxed_othr_pnsn_amt	0.93	10	2024-25
Untaxed_othr_pnsn_amt	1.3	10	2024-25
Other_foreign_inc_amt	0.98	10	2024-25
Other_inc_amt	0.82	10	2024-25
Div_Ded_amt	0.15	10	2024-25
Intrst_Ded_amt	1	10	2024-25
Gift_amt	0.99	10	2024-25
PP_loss_claimed	0.76	10	2024-25
NPP_loss_claimed	1	10	2024-25
Rep_frng_ben_amt	1.39	10	2024-25
Med_Exp_TO_amt	1	10	2024-25
Asbl_forgn_source_incm_amt	0.56	10	2024-25
Net_fincl_invstmt_lss_amt	1.37	10	2024-25
Cr_PAYG_ITI_amt	0.94	10	2024-25
TFN_amts_wheld_gr_intst_amt	0.97	10	2024-25
TFN_amts_wheld_divs_amt	1.11	10	2024-25
Hrs_to_prepare_BPI_cnt	1.11	10	2024-25
Help_debt	0.82	10	2024-25
Spouse_adjusted_taxable_inc	1	10	2024-25
