obsTime	obsValue
2002-Q2	75.4541
2002-Q3	75.9548
2002-Q4	76.5093
2003-Q1	77.1437
2003-Q2	77.5658
2003-Q3	78.0847
2003-Q4	78.6079
2004-Q1	79.1321
2004-Q2	79.6135
2004-Q3	80.098
2004-Q4	80.7503
2005-Q1	81.2703
2005-Q2	81.7881
2005-Q3	82.2995
2005-Q4	82.8485
2006-Q1	83.5367
2006-Q2	84.2393
2006-Q3	84.823
2006-Q4	85.3291
2007-Q1	85.8056
2007-Q2	86.5667
2007-Q3	87.3108
2007-Q4	88.3656
2008-Q1	89.3762
2008-Q2	90.4134
2008-Q3	91.5401
2008-Q4	92.1806
2009-Q1	93.0167
2009-Q2	93.6395
2009-Q3	94.3418
2009-Q4	95.0964
2010-Q1	95.8698
2010-Q2	96.2483
2010-Q3	96.7942
2010-Q4	97.2043
2011-Q1	98.0167
2011-Q2	98.8105
2011-Q3	99.1971
2011-Q4	99.8166
2012-Q1	100.223
2012-Q2	100.7633
2012-Q3	101.4604
2012-Q4	101.9911
2013-Q1	102.5475
2013-Q2	103.1625
2013-Q3	103.89
2013-Q4	104.7127
2014-Q1	105.2817
2014-Q2	106.0238
2014-Q3	106.4134
2014-Q4	107.0349
2015-Q1	107.7098
2015-Q2	108.3657
2015-Q3	108.7439
2015-Q4	109.3491
2016-Q1	109.6194
2016-Q2	110.1701
2016-Q3	110.5345
2016-Q4	111.0005
2017-Q1	111.5085
2017-Q2	112.1044
2017-Q3	112.5049
2017-Q4	112.9505
2018-Q1	113.5097
2018-Q2	114.0395
2018-Q3	114.4702
2018-Q4	115.0059
2019-Q1	115.3283
