variable	inflator	h
Asbl_forgn_source_incm_amt	0.88	1
Aust_govt_pnsn_allw_amt	1	1
Cr_PAYG_ITI_amt	0.98	1
Div_Ded_amt	0.89	1
Dividends_franking_cr_amt	1.05	1
Frk_Div_amt	1	1
Gift_amt	1.09	1
Gross_rent_amt	1.04	1
Grs_int_amt	1	1
Help_debt	1.1	1
Hrs_to_prepare_BPI_cnt	1	1
Intrst_Ded_amt	1	1
Med_Exp_TO_amt	1	1
NPP_loss_claimed	1	1
Net_CG_amt	1	1
Net_PT_NPP_dsn	1.02	1
Net_PT_PP_dsn	0.97	1
Net_farm_management_amt	1	1
Net_fincl_invstmt_lss_amt	1	1
Other_foreign_inc_amt	0.98	1
Other_inc_amt	0.99	1
Other_rent_ded_amt	1.04	1
PP_loss_claimed	1.06	1
Rent_cap_wks_amt	1.05	1
Rent_int_ded_amt	1	1
Rep_frng_ben_amt	1.03	1
Spouse_adjusted_taxable_inc	1	1
TFN_amts_wheld_divs_amt	0.89	1
TFN_amts_wheld_gr_intst_amt	1.21	1
Taxed_othr_pnsn_amt	1.04	1
Tot_CY_CG_amt	1	1
Total_NPP_BE_amt	0.75	1
Total_NPP_BI_amt	0.75	1
Total_PP_BE_amt	0.99	1
Total_PP_BI_amt	0.99	1
Unfranked_Div_amt	1.09	1
Untaxed_othr_pnsn_amt	1.04	1
Asbl_forgn_source_incm_amt	0.88	2
Aust_govt_pnsn_allw_amt	1	2
Cr_PAYG_ITI_amt	0.98	2
Div_Ded_amt	0.78	2
Dividends_franking_cr_amt	1.05	2
Frk_Div_amt	1	2
Gift_amt	1.09	2
Gross_rent_amt	1.08	2
Grs_int_amt	1	2
Help_debt	1.19	2
Hrs_to_prepare_BPI_cnt	1	2
Intrst_Ded_amt	1	2
Med_Exp_TO_amt	0.96	2
NPP_loss_claimed	1	2
Net_CG_amt	1	2
Net_PT_NPP_dsn	1.01	2
Net_PT_PP_dsn	0.97	2
Net_farm_management_amt	1	2
Net_fincl_invstmt_lss_amt	1	2
Other_foreign_inc_amt	0.98	2
Other_inc_amt	0.99	2
Other_rent_ded_amt	1.08	2
PP_loss_claimed	1.06	2
Rent_cap_wks_amt	1.1	2
Rent_int_ded_amt	1	2
Rep_frng_ben_amt	1.07	2
Spouse_adjusted_taxable_inc	1	2
TFN_amts_wheld_divs_amt	0.89	2
TFN_amts_wheld_gr_intst_amt	1.21	2
Taxed_othr_pnsn_amt	1.04	2
Tot_CY_CG_amt	1	2
Total_NPP_BE_amt	0.75	2
Total_NPP_BI_amt	0.75	2
Total_PP_BE_amt	0.99	2
Total_PP_BI_amt	0.99	2
Unfranked_Div_amt	1.09	2
Untaxed_othr_pnsn_amt	1.06	2
Asbl_forgn_source_incm_amt	0.88	3
Aust_govt_pnsn_allw_amt	1	3
Cr_PAYG_ITI_amt	0.98	3
Div_Ded_amt	0.67	3
Dividends_franking_cr_amt	1.05	3
Frk_Div_amt	1	3
Gift_amt	1.09	3
Gross_rent_amt	1.11	3
Grs_int_amt	1	3
Help_debt	1.29	3
Hrs_to_prepare_BPI_cnt	1	3
Intrst_Ded_amt	1	3
Med_Exp_TO_amt	0.92	3
NPP_loss_claimed	1	3
Net_CG_amt	1	3
Net_PT_NPP_dsn	1	3
Net_PT_PP_dsn	0.97	3
Net_farm_management_amt	1	3
Net_fincl_invstmt_lss_amt	1	3
Other_foreign_inc_amt	0.98	3
Other_inc_amt	0.99	3
Other_rent_ded_amt	1.12	3
PP_loss_claimed	1.06	3
Rent_cap_wks_amt	1.15	3
Rent_int_ded_amt	1	3
Rep_frng_ben_amt	1.1	3
Spouse_adjusted_taxable_inc	1	3
TFN_amts_wheld_divs_amt	0.89	3
TFN_amts_wheld_gr_intst_amt	1.21	3
Taxed_othr_pnsn_amt	1.04	3
Tot_CY_CG_amt	1	3
Total_NPP_BE_amt	0.75	3
Total_NPP_BI_amt	0.75	3
Total_PP_BE_amt	0.99	3
Total_PP_BI_amt	0.99	3
Unfranked_Div_amt	1.09	3
Untaxed_othr_pnsn_amt	1.1	3
Asbl_forgn_source_incm_amt	0.88	4
Aust_govt_pnsn_allw_amt	1	4
Cr_PAYG_ITI_amt	0.98	4
Div_Ded_amt	0.56	4
Dividends_franking_cr_amt	1.05	4
Frk_Div_amt	1	4
Gift_amt	1.09	4
Gross_rent_amt	1.15	4
Grs_int_amt	1	4
Help_debt	1.39	4
Hrs_to_prepare_BPI_cnt	1	4
Intrst_Ded_amt	1	4
Med_Exp_TO_amt	0.88	4
NPP_loss_claimed	1	4
Net_CG_amt	1	4
Net_PT_NPP_dsn	0.99	4
Net_PT_PP_dsn	0.97	4
Net_farm_management_amt	1	4
Net_fincl_invstmt_lss_amt	1	4
Other_foreign_inc_amt	0.98	4
Other_inc_amt	0.99	4
Other_rent_ded_amt	1.16	4
PP_loss_claimed	1.06	4
Rent_cap_wks_amt	1.2	4
Rent_int_ded_amt	1	4
Rep_frng_ben_amt	1.14	4
Spouse_adjusted_taxable_inc	1	4
TFN_amts_wheld_divs_amt	0.89	4
TFN_amts_wheld_gr_intst_amt	1.21	4
Taxed_othr_pnsn_amt	1.04	4
Tot_CY_CG_amt	1	4
Total_NPP_BE_amt	0.75	4
Total_NPP_BI_amt	0.75	4
Total_PP_BE_amt	0.99	4
Total_PP_BI_amt	0.99	4
Unfranked_Div_amt	1.09	4
Untaxed_othr_pnsn_amt	1.12	4
Asbl_forgn_source_incm_amt	0.88	5
Aust_govt_pnsn_allw_amt	1	5
Cr_PAYG_ITI_amt	0.98	5
Div_Ded_amt	0.46	5
Dividends_franking_cr_amt	1.05	5
Frk_Div_amt	1	5
Gift_amt	1.09	5
Gross_rent_amt	1.19	5
Grs_int_amt	1	5
Help_debt	1.48	5
Hrs_to_prepare_BPI_cnt	1	5
Intrst_Ded_amt	1	5
Med_Exp_TO_amt	0.84	5
NPP_loss_claimed	1	5
Net_CG_amt	1	5
Net_PT_NPP_dsn	0.98	5
Net_PT_PP_dsn	0.97	5
Net_farm_management_amt	1	5
Net_fincl_invstmt_lss_amt	1	5
Other_foreign_inc_amt	0.98	5
Other_inc_amt	0.99	5
Other_rent_ded_amt	1.2	5
PP_loss_claimed	1.06	5
Rent_cap_wks_amt	1.25	5
Rent_int_ded_amt	1	5
Rep_frng_ben_amt	1.17	5
Spouse_adjusted_taxable_inc	1	5
TFN_amts_wheld_divs_amt	0.89	5
TFN_amts_wheld_gr_intst_amt	1.21	5
