fy_year	obsValue
1978-79	6458262
1979-80	6603472
1980-81	6748099
1981-82	6860657
1982-83	6946788
1983-84	7049719
1984-85	7188164
1985-86	7451051
1986-87	7675275
1987-88	7869358
1988-89	8100195
1989-90	8345058
1990-91	8490082
1991-92	8510290
1992-93	8547421
1993-94	8688404
1994-95	8838109
1995-96	9045957
1996-97	9110640
1997-98	9167093
1998-99	9257530
1999-00	9417848
2000-01	9544538
2001-02	9749152
2002-03	9963762
2003-04	10028363
2004-05	10266338
2005-06	10509520
2006-07	10772098
2007-08	11080573
2008-09	11352131
2009-10	11533103
2010-11	11761249
2011-12	11888311
2012-13	12078808
2013-14	12175509
2014-15	12392651
2015-16	12649223
2016-17	12782723
2017-18	13178971
2018-19	13417771
