fy_year,Quintile,total_delta_bn,max_income,min_income,avg_income,Financial year ending
2018-19,5,-0.9,4129364,87929,159236.12,2019
2018-19,4,-1.54,87928,56511,70569.69,2019
2018-19,3,-1.26,56511,37038,46353.92,2019
2018-19,2,-0.5,37038,19551,27960.28,2019
2018-19,1,0,19550,0,9086.11,2019
2019-20,5,-0.85,4225923,90607,164226.69,2020
2019-20,4,-1.59,90607,58069,72625.8,2020
2019-20,3,-1.34,58069,38027,47609.1,2020
2019-20,2,-0.57,38027,20022,28687.32,2020
2019-20,1,0,20021,0,9310.41,2020
2020-21,5,-0.77,4335558,93647,169968.5,2021
2020-21,4,-1.61,93646,59838,74955.1,2021
2020-21,3,-1.4,59837,39139,49032.88,2021
2020-21,2,-0.64,39139,20549,29519.55,2021
2020-21,1,0,20549,0,9576.11,2021
2021-22,5,-0.71,4437349,96693,175606.2,2022
2021-22,4,-1.65,96693,61620,77298.77,2022
2021-22,3,-1.48,61619,40250,50460.56,2022
2021-22,2,-0.71,40250,21066,30344.41,2022
2021-22,1,0,21066,0,9814.6,2022
2022-23,5,-2.32,4540563,99908,181518.77,2023
2022-23,4,-3.34,99908,63491,79761.81,2023
2022-23,3,-3.2,63490,41432,51963.91,2023
2022-23,2,-1.46,41432,21626,31221.5,2023
2022-23,1,-0.01,21626,0,10076.01,2023
2023-24,5,-2.26,4645245,103181,187546.41,2024
2023-24,4,-3.34,103180,65423,82272.83,2024
2023-24,3,-3.23,65423,42629,53494.66,2024
2023-24,2,-1.59,42629,22175,32106.33,2024
2023-24,1,-0.03,22175,0,10321.32,2024
2024-25,5,-12.79,4751444,106625,193813.84,2025
2024-25,4,-3.76,106622,67417,84891.11,2025
2024-25,3,-3.31,67417,43888,55095.26,2025
2024-25,2,-1.74,43888,22763,33033.07,2025
2024-25,1,-0.06,22762,0,10576.42,2025
2025-26,5,-13.59,4859211,110131,200231.31,2026
2025-26,4,-3.97,110131,69459,87569.48,2026
2025-26,3,-3.39,69458,45178,56727.24,2026
2025-26,2,-1.89,45178,23324,33974.31,2026
2025-26,1,-0.09,23323,0,10821.22,2026
2026-27,5,-14.42,4968598,113755,206890.37,2027
2026-27,4,-4.21,113754,71573,90353.99,2027
2026-27,3,-3.46,71573,46507,58424.27,2027
2026-27,2,-2.05,46506,23908,34955.74,2027
2026-27,1,-0.13,23908,0,11074.87,2027
2027-28,5,-15.03,5079659,117506,213722.2,2028
2027-28,4,-4.4,117505,73737,93211.32,2028
2027-28,3,-3.46,73737,47853,60165.18,2028
2027-28,2,-2.17,47852,24500,35956.06,2028
2027-28,1,-0.16,24499,0,11320.14,2028
