fy_year,id,Quintile,avg_delta,max_income,min_income,avg_income,Financial year ending
2018-19,Budget2018,1,0,19241,0,8954.3,2019
2018-19,Budget2018,2,-155.9,36641,19242,27576,2019
2018-19,Budget2018,3,-422.2,56038,36641,45937.8,2019
2018-19,Budget2018,4,-529.4,86715,56039,69816.9,2019
2018-19,Budget2018,5,-315.4,3969763,86717,156379.4,2019
2019-20,Budget2018,1,0,19575,0,9127.7,2020
2019-20,Budget2018,2,-180.7,37418,19576,28137.3,2020
2019-20,Budget2018,3,-442.2,57336,37418,46973.5,2020
2019-20,Budget2018,4,-531.3,88875,57336,71457,2020
2019-20,Budget2018,5,-300.4,3998914,88875,160097.2,2020
2020-21,Budget2018,1,0,19917,0,9294.1,2021
2020-21,Budget2018,2,-199,38213,19917,28703.2,2021
2020-21,Budget2018,3,-459.1,58649,38213,48029.9,2021
2020-21,Budget2018,4,-537,91050,58649,73130,2021
2020-21,Budget2018,5,-280.6,4037974,91051,164059.2,2021
2021-22,Budget2018,1,0,20254,0,9465.4,2022
2021-22,Budget2018,2,-218,39028,20254,29283.1,2022
2021-22,Budget2018,3,-474.4,59976,39029,49115.8,2022
2021-22,Budget2018,4,-541.9,93287,59976,74848,2022
2021-22,Budget2018,5,-261,4068651,93287,167992.7,2022
2022-23,Budget2018,1,0,20593,0,9634.5,2023
2022-23,Budget2018,2,-248.9,39874,20593,29875,2023
2022-23,Budget2018,3,-998.9,61352,39874,50230.3,2023
2022-23,Budget2018,4,-1114.8,95617,61352,76611.2,2023
2022-23,Budget2018,5,-2339.8,4100185,95617,172041.7,2023
2023-24,Budget2018,1,-0.6,20920,0,9792.6,2024
2023-24,Budget2018,2,-275.7,40733,20920,30469.8,2024
2023-24,Budget2018,3,-1026.6,62750,40733,51361.3,2024
2023-24,Budget2018,4,-1136.4,97993,62750,78403.5,2024
2023-24,Budget2018,5,-2383.2,4132596,97993,176169.2,2024
2024-25,Budget2018,1,-2.1,21276,0,9958.1,2025
2024-25,Budget2018,2,-304.9,41625,21276,31087.5,2025
2024-25,Budget2018,3,-1049.9,64196,41625,52533.8,2025
2024-25,Budget2018,4,-1163.5,100459,64197,80262,2025
2024-25,Budget2018,5,-4200.5,4165906,100459,180458.1,2025
2025-26,Budget2018,1,-4.5,21630,0,10121.7,2026
2025-26,Budget2018,2,-336.9,42549,21631,31718.3,2026
2025-26,Budget2018,3,-1067.3,65682,42550,53736.2,2026
2025-26,Budget2018,4,-1196.3,102993,65683,82171.3,2026
2025-26,Budget2018,5,-4347.3,4200137,102993,184871.2,2026
2026-27,Budget2018,1,-7,21975,0,10282.2,2027
2026-27,Budget2018,2,-372.4,43470,21975,32360.4,2027
2026-27,Budget2018,3,-1078.8,67175,43470,54967.3,2027
2026-27,Budget2018,4,-1235,105582,67175,84131.9,2027
2026-27,Budget2018,5,-4494.8,4266548,105582,189406,2027
2027-28,Budget2018,1,-9.7,22304,0,10433.5,2028
2027-28,Budget2018,2,-411.2,44429,22304,33004.7,2028
2027-28,Budget2018,3,-1084.3,68675,44429,56210.2,2028
2027-28,Budget2018,4,-1279.1,108233,68676,86130.5,2028
2027-28,Budget2018,5,-4643.1,4357520,108237,194034.7,2028
