Occupation,nIndividuals
,2734848
"1100 Chief Executives, General Managers and Legislators - type not specified",1917
1111 Chief Executives and Managing Directors,166741
1112 General Managers,226199
1113 Legislators,4069
1210 Farmers and farm managers - type not specified,319
1211 Aquaculture Farmers,1816
1212 Crop Farmers,10531
1213 Livestock Farmers,11558
1214 Mixed Crop and Livestock Farmers,3301
1311 Advertising and Sales Managers,169868
1321 Corporate Services Managers,10071
1322 Finance Managers,44499
1323 Human Resource Managers,24214
1324 Policy and Planning Managers,39604
1325 Research and Development Managers,10897
1331 Construction Managers,58335
1332 Engineering Managers,25457
"1333 Importers, Exporters and Wholesalers",4013
1334 Manufacturers,19775
1335 Production Managers,16259
1336 Supply and Distribution Managers,16011
1341 Child Care Centre Managers,8354
1342 Health and Welfare Services Managers,34744
1343 School Principals,11674
1344 Other Education Managers,8762
1351 ICT Managers,56301
1391 Commissioned Officers (Management),10919
1392 Senior Non-commissioned Defence Force Members,5789
1399 Other Specialist Managers,29048
1411 Cafe and Restaurant Managers,50535
1412 Caravan Park and Camping Ground Managers,2459
1413 Hotel and Motel Managers,13397
1414 Licensed Club Managers,3412
1419 Other Accommodation and Hospitality Managers,1656
1421 Retail Managers,106747
"1491 Amusement, Fitness and Sports Centre Managers",4645
1492 Call or Contact Centre and Customer Service Managers,97680
1493 Conference and Event Organisers,13900
1494 Transport Services Managers,21185
"1499 Other Hospitality, Retail and Service Managers",32472
"2111 Actors, Dancers and Other Entertainers",11260
2112 Music Professionals,5405
2113 Photographers,5479
2114 Visual Arts and Crafts Professionals,2571
2120 Media Professionals - type not specified,157
"2121 Artistic Directors, and Media Producers and Presenters",9764
"2122 Authors, and Book and Script Editors",2173
"2123 Film, Television, Radio and Stage Directors",8855
2124 Journalists and Other Writers,16438
2211 Accountants,159086
"2212 Auditors, Company Secretaries and Corporate Treasurers",18709
"2220 Financial Brokers, Dealers, Investment Advisers and Managers - type not specified",24
2221 Financial Brokers,14771
2222 Financial Dealers,4617
2223 Financial Investment Advisers and Managers,19424
2231 Human Resource Professionals,47040
2232 ICT Trainers,1427
2233 Training and Development Professionals,18467
"2241 Actuaries, Mathematicians and Statisticians",4591
"2242 Archivists, Curators and Records Managers",11944
2243 Economists,3421
2244 Intelligence and Policy Analysts,10068
2245 Land Economists and Valuers,4878
2246 Librarians,10662
2247 Management and Organisation Analysts,42640
2249 Other Information and Organisation Professionals,9648
2251 Advertising and Marketing Professionals,44308
2252 ICT Sales Professionals,15449
2253 Public Relations Professionals,16112
2254 Technical Sales Representatives,27676
"2300 Design, Engineering, Science and Transport Professionals - type not specified",116
2311 Air Transport Professionals,14598
2312 Marine Transport Professionals,10774
"2320 Architects, Designers, Planners and Surveyors",218
2321 Architects and Landscape Architects,19485
2322 Cartographers and Surveyors,10607
"2323 Fashion, Industrial and Jewellery Designers",7576
"2324 Graphic and Web Designers, and Illustrators",33446
2325 Interior Designers,5748
2326 Urban and Regional Planners,9737
2330 Engineering Professionals - type not specified,843
2331 Chemical and Materials Engineers,7748
2332 Civil Engineering Professionals,45708
2333 Electrical Engineers,22434
2334 Electronics Engineers,6837
"2335 Industrial, Mechanical and Production Engineers",38571
2336 Mining Engineers,8655
2339 Other Engineering Professionals,28218
2340 Natural and Physical Science Professionals - type not specified,459
2341 Agricultural and Forestry Scientists,8589
"2342 Chemists, and Food and Wine Scientists",12503
2343 Environmental Scientists,25343
2344 Geologists and Geophysicists,9605
2345 Life Scientists,14785
2346 Medical Laboratory Scientists,12159
2347 Veterinarians,8409
2349 Other Natural and Physical Science Professionals,8573
2400 Education Professionals,3191
2410 School Teacher - type not specified,1731
2411 Early Childhood (Pre-primary School) Teachers,20951
2412 Primary School Teachers,157771
2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),9276
